id,title,country,year,averageScore,popularity,score,berserk_cos,centroid_cos,top_tags,label_group
87225,Tsukimichi: Moonlit Fantasy,JP,2015,76.0,21513,0.6696422889608065,0.3129497190236587,0.5723927267490662,"Shounen, Isekai, Magic, Demons, Kingdom Management",
100954,Sweet Home,KR,2017,81.0,53889,0.6687796227419814,0.3735909634200772,0.4684442195915292,"Post-Apocalyptic, Survival, Demons, Tragedy, Coming of Age",
85296,Requiem of the Rose King,JP,2013,79.0,11798,0.6681317238867612,0.42597717275913294,0.4926453566116076,"Historical, Classic Literature, Boys' Love, Tragedy, War",
127819,Death Note Short Stories,JP,2021,72.0,8338,0.6679201640677097,0.31387421111840863,0.464635923915101,"Shounen, Detective, Police, Crime, Gods",
33403,Rosario+Vampire: Season II,JP,2007,78.0,14474,0.6678001290889372,0.22620212049789384,0.4250780561864614,"Vampire, Shounen, Heterosexual, Male Protagonist, Terrorism",
69883,Assassination Classroom,JP,2012,81.0,53396,0.6672916903976139,0.1584688756302513,0.4335077182922281,"Teacher, Assassins, School, Primarily Child Cast, Shounen",
87234,The Elder Sister-Like One,JP,2016,71.0,18576,0.6666239534109054,0.2955544856777508,0.3010581783107149,"Demons, Seinen, Cosmic Horror, Family Life, Monster Girl",
78397,"No Game, No Life",JP,2013,72.0,8396,0.662855184290561,0.2763131950938199,0.4080235659918485,"Isekai, Video Games, Hikikomori, Male Protagonist, Board Game",
30009,Tsubasa RESERVoir CHRoNiCLE,JP,2003,81.0,17638,0.6624669168189837,0.4129672267737548,0.5382528579341515,"Travel, Alternate Universe, Magic, Crossover, Amnesia",
97216,The Saga of Tanya the Evil,JP,2016,82.0,13738,0.6619707715729662,0.4480358966859804,0.46807595636351434,"Military, War, Reincarnation, Magic, Seinen",
98543,Parallel Paradise,JP,2017,57.0,17064,0.6618983706243892,0.3978048222066083,0.3946388365143174,"Female Harem, Defloration, Ahegao, Isekai, Nudity",
31658,Dororo,JP,1967,70.0,7747,0.6599552969907276,0.3719610782130197,0.5925835279846031,"Demons, Youkai, Swordplay, War, Coming of Age",
113340,Death's Game,KR,2019,78.0,8863,0.658380589249515,0.2816763537574968,0.4283747034018196,"Survival, Full Color, Tragedy, Suicide, Death Game",
